[src/logging.rs::60][2024-07-09 15:56:33][DEBUG] command line: /data/kzkarttu/software/modkit/modkit pileup ../align/concatenated/GP5d_DNMTi_HDACi_concatenated.bam stdout -t 40 --log-filepath pileup_GpC_no_GCG.log --ref /data/kzkarttu/annotations/genome/GRCh38.primary_assembly.genome.fa --ignore h --motif GCT 1 --motif GCA 1 --motif GCC 1
[src/logging.rs::60][2024-07-09 15:57:59][DEBUG] command line: /data/kzkarttu/software/modkit/modkit pileup ../data/Nanopore/GP5d_DNMTi_HDACi/align/concatenated/GP5d_DNMTi_HDACi_concatenated.bam stdout -t 40 --log-filepath pileup_GpC_no_GCG.log --ref /data/kzkarttu/annotations/genome/GRCh38.primary_assembly.genome.fa --ignore h --motif GCT 1 --motif GCA 1 --motif GCC 1
[src/pileup/subcommand.rs::448][2024-07-09 15:57:59][INFO] calculated chunk size: 60, interval size 100000, processing 6000000 positions concurrently
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 6212 positions in tid 170, took 0.0040s (41.2625 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1309 positions in tid 160, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 4 positions in tid 58, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 38 positions in tid 71, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1434 positions in tid 145, took 0.0010s (66.86 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 78 positions in tid 93, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 30 positions in tid 85, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 42 positions in tid 134, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 35 positions in tid 98, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCC,1 has 20 positions in tid 94, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 54 positions in tid 60, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1132 positions in tid 153, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 42 positions in tid 56, took 0.0020s (0.684 kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCT,1 has 29 positions in tid 134, took 0.0000s (inf kb/msec)
[src/motif_bed.rs::601][2024-07-09 15:58:42][DEBUG] motif GCA,1 has 1951 positions in tid 189, took 0.0010s (62.944 kb/msec)
